,CrashSeverity,NumberOfUnits,UnitInError,CrashDateTime,Latitude,Longitude,LocationRouteType,LocationRouteNumber,LocationPrefix,LocationRoadName,LocationRoadType,MannerOfCollision,Weather,LightCondition,Narrative,CrashReportedDateTime,DispatchedDateTime,ArrivedDateTime,RoadCondition,TotalInjured,TotalKilled,AnimalRelated,AlcoholRelated,SpeedRelated,TeenRelated
10,Property Damage Only,2,1,6/25/2020 22:47,40.08613,-82.42702,,,North,21st,Street,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 2 was parked at 1414 N 21st St (Roosters).  Unit 1 (hit skip) was turning into parking spot when it struck Unit 2 causing a accident.  Unit 1 then fled the scene without reporting the accident.  Employees from Roosters checked video and noticed a maroon Ford SUV pull into the spot then a couple seconds later backed out and left the parking lot.  Employees could not get a license plate off of Unit 1 due to poor video quality.  Unknown at this time who was driving Unit 1.  Unit 1 is found at fault for the accident.  ,6/25/2020 22:47,6/25/2020 23:40,6/25/2020 23:58,Dry,0,0,False,False,False,False
11,Property Damage Only,1,1,6/26/2020 16:24,40.066621000000005,-82.380011,,,North,WING,Street,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 01 was traveling NB down a residential street when it failed to see the power lines going across the road way. Unit 01 pulled the power lines from the pole exposing the lines. Unit 01 suffered no damage and reported no injuries. AEP arrived on scene to fix the power lines.,6/26/2020 16:24,6/26/2020 16:26,6/26/2020 16:34,Dry,0,0,False,False,False,False
12,Property Damage Only,2,2,6/26/2020 12:31,40.063327,-82.429441,,,West,16,Highway,Rear-end,Clear,Daylight,Unit 1 and Unit 2 were getting off the exit ramp of SR 16 to turn north onto 21St; when Unit 2 struck Unit 1 on the back bumper. Unit 1 was getting ready to turn onto 21st when noticed the sign that says no turn on red. Unit 1 then put on the breaks causing Unit 2 to strike Unit 1 on the back bumper.  Unit 1 had little to no damage and Unit 2 had little to no damage. There were no injuries. Both Units were able to drive their vehicles.     Respectfully Submitted;     Officer Jewell,6/26/2020 12:31,6/26/2020 12:33,6/26/2020 12:53,Dry,0,0,False,False,False,False
13,Injury Possible,2,1,6/26/2020 12:07,40.086101,-82.418182,State Route,13,,,,Rear-end,Cloudy,Daylight,Unit #2 and Unit #1 were both southbound on SR 13.  Unit #2 stopped suddenly because the car in front of him stopped suddenly.  Unit #1 did not stop in time and struck the rear of unit #2.  Unit #2 stated his neck hurt but did not request medical attention.  ,6/26/2020 12:07,6/26/2020 12:07,6/26/2020 12:15,Dry,0,0,False,False,False,False
14,Property Damage Only,2,1,6/26/2020 10:28,40.075009,-82.428534,,,North,21st,Street,Rear-end,Clear,Daylight,Unit number 2 was traveling southbound on N. 21st Street when she slowed down to turn into 963 N. 21st Street. Unit number 1 whom was traveling behind unit number 2 failed to slow down in time and struck unit number 2 in the rear. ,6/26/2020 10:28,6/26/2020 10:30,6/26/2020 10:54,Dry,0,0,False,False,False,True
15,Serious Injury Suspected,2,2,6/28/2020 16:47,40.053020000000004,-82.40417099999999,,,South,5th,Street,Angle,Clear,Daylight,Unit 1 was travelling northbound on S. 5th St. Unit 2 was travelling southbound on S. 5th St. Unit 2 failed to yield when turning into oncoming traffic and was struck by Unit 1. Unit 1 driver and passenger reported injuries. Unit 1 driver was transported Licking Memorial Hospital. Unit 1 passenger was treated on scene. Unit 2 driver reported no injuries. Unit 1 driver was issued a citation for driving under suspension. ,6/28/2020 16:47,6/28/2020 16:51,6/28/2020 16:53,Dry,0,0,False,False,False,False
16,Property Damage Only,2,2,6/28/2020 18:42,40.057006,-82.412162,,,West,Church ,Street,Sideswipe; same direction,Clear,Daylight,Unit 1 was parked on W Church St facing eastbound. Unit 2 was traveling eastbound on W Church St and struck Unit 1. The driver of Unit 2 fled the scene and were not located. Driver of Unit 2 is at fault for the crash. ,6/28/2020 18:42,6/28/2020 18:43,6/28/2020 18:45,Dry,0,0,False,False,False,False
17,Property Damage Only,2,1,6/29/2020 14:52,40.044000000000004,-82.42015,,,,Seneca ,Drive,Not Collision Between Two Vehicles in Transport,Clear,Daylight,On the stated date and time in the area of Seneca Drive and Ridgefield Road I observed a black toyota vehicle bearing Ohio license plate (HTG3729) on the front bumper and Ohio license plate (HZC4521) on the rear bumper. The black Toyota was travelling southbound on Seneca Drive and I was travelling northbound on Seneca Drive. I then made a u-turn to get behind the vehicle that was bearing two different Ohio license plates to initiate a traffic stop. As I was turning around to initiate a traffic stop on the vehicle the vehicle then turned right into the address of 530 Seneca Drive. While turning into the drive way the Toyota struck the drivers side front of a parked white Ford Ranger parked on the side on the street. At this point I had witnessed the crash and activated my over head lights and siren. I identified the driver of the Toyota as Brett Houston. I asked why Brett had hit the vehicle and he stated that he was nervous about being stopped. Unit #1 is at fault which is the black Toyota Camry operator was Brett Houston. Brett was cited for failure to control; expired registration; and fictitious license plates. Ohio license plate (HZC4521 belongs to a white 2009 Dodge station wagon); and (HTG3729 belongs to a 2009 white Dodge station wagon as well).  License plates were siezed at this time; vehicle was impounded as well. Respectfully submitted;Officer W. Jackson,6/29/2020 14:52,6/29/2020 14:52,6/29/2020 14:52,Dry,0,0,False,False,False,False
18,Property Damage Only,2,1,6/29/2020 10:35,40.067319,-82.38155,,,,Garfield,Avenue,Rear-end,Clear,Daylight,On 06/29/2020 Unit 02 was traveling east bound on Garfield Ave. approaching the four way stop intersection at Oakwood Ave. Unit 01 was following Unit 02 and failed to keep assured clear distance ahead when Unit 02 came to a stop. Unit 01 made contact with the rear with Unit 02 and suffered minor damage to the right front bumper. Unit 02 suffered minor damage to the rear hatch and left rear bumper side. Both units advised of no injuries and were able to drive from the scene. ,6/29/2020 10:35,6/29/2020 10:36,6/29/2020 10:46,Dry,0,0,False,False,False,False
19,Minor Injury Suspected,3,3,6/29/2020 18:00,40.066512,-82.413221,,,,Eddy,Street,Sideswipe; same direction,Clear,Daylight,On listed date and time unit 3 was traveling north bound on Eddy Street. Unit 3 went off to the left side of roadway striking unit 2 that was parked. At this time it turned unit 3 onto the driver side. Unit 2 then slid on the driver side into unit 1. Unit 3 the flipped over onto its top at its final rest in the middle of the road. Driver of unit 3 was checked by EMS and released on scene. Unit 1 and 2 were both parked.,6/29/2020 18:00,6/29/2020 18:02,6/29/2020 18:04,Dry,0,0,False,False,True,False
20,Property Damage Only,2,1,6/29/2020 16:19,40.057897,-82.440921,,,North,30TH,Street,Rear-end,Clear,Daylight,UNIT 1 AND UNIT 2 WERE TRAVELING SOUTHBOUND ON N 30TH ST FROM W CHURCH ST. UNIT 2 SLOWED TO A STOP; AS A VEHICLE WAS ATTEMPTING TO TURN. UNIT 1 ADMITTED TO TEXTING ON HIS PHONE AND FAILED TO RECOGNIZE TRAFFIC WAS STOPPING.  UNIT 1 COLLIDED WITH THE REAR END OF UNIT 2. UNIT 1 SUSTAINED HEAVY FRONT END DAMAGE AND UNIT 2 SUSTAINED HEAVY REAR DAMAGE. NEWARK FIRE RESPONDED TO THE SCENE AND LOOKED OVER THE DRIVER FROM UNIT 2. NO ONE WAS TRANSPORTED TO THE HOSPITAL FROM THE SCENE. UNIT 2 WAS NOT DRIVEABLE AND WAS TOWED AWAY BY SPEEDY'S TOWING. UNIT 1 WAS ISSUED A CITATION FOR ACDA AND FOR TEXTING AND DRIVING. UNIT 2 BELIEVES THAT THE IMPACT OF THIS COLLISION PUSHED HIM FORWARD; CAUSING HIM TO TAP THE REAR END OF A TRUCK ; BUT THE TRUCK (HVJ7505) LEFT THE SCENE. IT IS UNKNOWN AT THIS POINT IF THERE WAS ANY DAMAGE SUSTAINED TO THE TRUCK OR IF IT WAS ACTUALLY HIT.,6/29/2020 16:19,6/29/2020 16:21,6/29/2020 16:22,Dry,0,0,False,False,False,False
21,Injury Possible,1,1,6/28/2020 23:06,40.099156,-82.434822,,,,PRICE,Road,Not Collision Between Two Vehicles in Transport,Clear,Dark - Lighted Roadway,UNIT 1 WAS TRAVELING WESTBOUND ON PRICE RD APPROACHING OXFORD DOWNS RD; WHEN HE RAN OFF THE RIGHT SIDE OF THE ROAD AND SIDESWIPED A TELEPHONE POLE. UNIT 1 WAS TRANSPORTED BY NEWARK TOWNSHIP FIRE TO LMH. UNIT 1 WAS ISSUED A CITATION FOR FAILURE TO CONTROL AND HIS VEHICLE WAS IMPOUNDED BY PORKY'S TOWING AND STORED AT THE NEWARK IMPOUND LOT.,6/28/2020 23:06,6/28/2020 23:07,6/28/2020 23:11,Dry,0,0,False,False,False,True
22,Property Damage Only,2,2,6/30/2020 17:26,40.06217,-82.4168,,,,Woods,Avenue,Backing,Clear,Daylight,Unit 2 was waiting at the intersection and attempted to pull out. Unit 2 moved into the intersection and then reversed. Unit 1 was waiting at the intersection and Unit 2 backed into Unit 1. Unit 2 struck Unit 1. Unit 2 was cited and released.,6/30/2020 17:26,6/30/2020 17:41,6/30/2020 17:44,Dry,0,0,False,False,False,True
23,Property Damage Only,2,1,7/1/2020 13:06,40.086477,-82.427504,,,North,21st,Street,Angle,Clear,Daylight,Unit number 1 was traveling south on N.21 Street attempting to make a right hand turn onto Goosepond Drive when he lost control of his motorcycle and struck the side of unit number 2. Unit  number 2 was eastbound on Goosepond Drive stopped at the red light at N 21st Street. ,7/1/2020 13:06,7/1/2020 13:06,7/1/2020 13:14,Dry,0,0,False,False,False,False
24,Property Damage Only,2,1,7/1/2020 8:36,40.05898,-82.429156,,,West,LOCUST,Street,Angle,Clear,Daylight,"07/01/2020; 0836 hours; Unit#01 was stopped in the roadway on West Locust Street east of the North 21st Street intersection.  Unit#02 was traveling west on West Locust Street east of Unit#01.  The operator of Unit#02 reports attempting to manuver around the stopped Unit#01 to travel west bound on West Locust Street and intially to the right and then to the left as Unit#01 started also moving.  The operator of Unit#02 reports slowly passing Unit#01 on the left when Unit#01 moved in reverse and struck Unit#02.  The operator of Unit#01 reports calling the Police on a cellular phone(unrelated matter) and was stopped and then attempted to ""move out of way"" of Unit#02 as it approached and collided while in reverse.  Both vehicles moved prior to the arrival of Police.  Unit#01 falled to follow rules for starting and backing; clearence to the rear.  ",7/1/2020 8:36,7/1/2020 8:36,7/1/2020 8:45,Dry,0,0,False,False,False,False
25,Property Damage Only,2,2,6/28/2020 14:40,40.074760999999995,-82.447101,,,,KING,Road,Rear-end,Clear,Daylight,Unit 1 was southbound on King Road; and had just stoped for the stop sign at the intersectionof Sharon Valley Road. Unit 2 had been traveling behind Unit 1. Unit 2 failed to effectively brake; and did strike the rear of Unit 1. After contact; Unit 2 did immediately pulled the to left side of Unit 1 and turned left; eastbound on to Sharon Valley Road; and fled the scene. No other information of Unit 2 is known.,6/28/2020 14:40,6/28/2020 14:50,6/28/2020 14:55,Dry,0,0,False,False,False,False
27,Property Damage Only,1,99,6/30/2020 21:30,40.063162,-82.385992,State Route,79,,,,Not Collision Between Two Vehicles in Transport,Clear,Dark - Lighted Roadway,On listed date and time the listed vehicle was driving north bound on STR 79 just passing Vine Street. When the vehicle went acroosed railroad tracks it recieved damage to the under cariage from the tracks being damaged. The tracks and a hole with exposed parts.,6/30/2020 21:31,6/30/2020 21:34,6/30/2020 21:37,Dry,0,0,False,False,False,False
28,Property Damage Only,1,1,6/30/2020 23:59,40.073493,-82.395012,,,North,BUENA VISTA ,Street,Not Collision Between Two Vehicles in Transport,Clear,Dark - Roadway Not Lighted,Your Honor;    On 06/30/2020 Uniit #1  lost control heading southbound on N Buena Vista and ran off the road. Upon running off the road Unit #1 struck an electrical pole. The driver of Unit #1 left the scene of the crash. Unit #1's vehicle was towed to the Newark City impound lot. There was no sign of the driver of Unit #1. There was a David Miller(#########) at the scene that was later found walking out of the woods. David is still a person of interest in the hit/skip.    Respectfully;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               OFC Joshua C. Craft,6/30/2020 23:59,7/1/2020 0:02,7/1/2020 0:08,Dry,0,0,False,False,True,False
29,Property Damage Only,2,2,6/26/2020 10:33,40.060032,-82.399744,,,North,1st,Street,Angle,Clear,Daylight,On 6/26/20 Unit 2 was traveling southbound on N. 1st Street. As Unit 1 approached the intersection of 1st and E. Church Street; Unit 2 failed to obey the traffic control device; running a red light. Both Units airs bags were deployed and both Units had disabling damage. There were no injuries and both Units were towed by Speedy’s towing. A third party witness remained on scene to state that the driver heading southbound on N 1st Street ran the red light and that the vehicle that was struck had a green light. Unit 2 was cited.,6/26/2020 10:33,6/26/2020 10:34,6/26/2020 10:36,Dry,0,0,False,False,False,False
30,Property Damage Only,2,2,7/2/2020 16:05,40.054396000000004,-82.417468,,,West,Main,Street,Sideswipe; same direction,Clear,Daylight,Unit 1 was traveling westbound on W Main St appraoching 11th St. Unit 2 was also traveling westbound on Main St and attempted to change lanes and struck Unit 1.,7/2/2020 16:05,7/2/2020 16:06,7/2/2020 16:20,Dry,0,0,False,False,False,False
31,Property Damage Only,2,2,7/3/2020 15:28,40.058453,-82.44258,,,West,Church ,Street,Rear-end,Clear,Daylight,On 7- 03-2020; Unit 1 and Unit 2 were traveling westbound on W Church St when Unit 1 started to slow down with traffic due to an Amazon truck stopped on the side of the roadway making a delivery. Unit 2 failed to stop in time striking Unit 1 causing damage to the rear and front and causing damage to the front driver side of Unit 2. Both Units had functional damage and were able to drive their vehicles. There were no injuries. Unit 2 was cited for ACDA.,7/3/2020 15:28,7/3/2020 15:29,7/3/2020 15:34,Dry,0,0,False,False,False,False
32,Property Damage Only,2,1,7/3/2020 10:55,40.086535,-82.416978,,,,Waterworks,Road,Rear-end,Clear,Daylight,Unit number number 1 was following unit number 2 westbound on Waterworks Road. Unit number 2 had slowed down to cross the railroad tracks when she was struck in the rear by unit number 1. ,7/3/2020 10:55,7/3/2020 10:58,7/3/2020 11:05,Dry,0,0,False,False,False,True
33,Injury Possible,3,1,7/3/2020 8:57,40.078843,-82.428177,,,North,21st,Street,Sideswipe; same direction,Clear,Daylight,Unit number 2 and 3 were northbound on N. 21st Street stopped at the stop light at Pierson Drive. Unit number 1 whom was also northbound on N. 21st Street left his lane of travel and struck unit 2 and unit 3. The driver of unit number 1 was transported to LMH for possible medical issues after the crash and I have been unable to collect insurance information from him. ,7/3/2020 8:57,7/3/2020 8:57,7/3/2020 9:00,Dry,0,0,False,False,False,False
34,Property Damage Only,2,2,7/3/2020 19:25,40.060375,-82.413048,State Route,79,,,,Sideswipe; same direction,Clear,Daylight,Unit 1 was traveling east on SR 16. Unit 2 was traveling north on SR 79 and attempting to merge over onto SR 16 East. Unit 2 failed to see unit 1 and merged onto SR 16 and struck unit 1.,7/3/2020 19:25,7/3/2020 19:25,7/3/2020 19:26,Dry,0,0,False,False,False,False
35,Property Damage Only,2,2,7/1/2020 15:50,40.056807,-82.405897,,,South,5th,Street,Rear-end,Clear,Daylight,Unit#1; Unit#2 were traveling north on S.5th St. Unit#1 stopped at the traffic control light on S. 5th St. at W. Main St. when he was struck in the rear by Unit#2. Unit#2 was cited for acda. ,7/1/2020 15:50,7/1/2020 15:51,7/1/2020 15:53,Dry,0,0,False,False,False,False
36,Property Damage Only,2,1,7/2/2020 20:30,40.066783,-82.407178,,,,Hudson,Avenue,Sideswipe; same direction,Clear,Daylight,Unit 01 struck Unit 02 which was legally parked on the street. An unknown witness advised Unit 02 that the vehicle was struck by an SUV. Unit 02 did not have the witness' information; and he was not located. Unit 02 suffered minor damage. Unit 01 has not been located yet to inspect the possible damage. There were also no cameras from a business in the area. The crash is still being investigated. (Honda Lease Trust is also an additional owner to the vehicle. BGLI) On 07/10/2020; Unit 01 was located after speaking with a witness. Unit 01 admitted to striking Unit 02 and leaving the scene of the accident. Unit 01 was cited for the accident.,7/2/2020 20:39,7/2/2020 20:43,7/2/2020 20:59,Dry,0,0,False,False,False,True
37,Injury Possible,2,2,7/6/2020 20:55,40.078990999999995,-82.42820999999999,,,North,21st,Street,Angle,Clear,Daylight,On listed date and time I was dispatched to the intersection or 21st Street and Pierson Driver on an injury ancident. Unit 1 was traveling east bound leaving the Kroger parking lot crossing 21st Street to Pierson Drive; with a green signal. Unit 2 was traveling norh bound on 21st Street approaching the intersection that had a red signal. Unit 2 struck Unit 1 in the intersection causing an accident. Unit 2 was cited for running the red light. Unit 1 was check by EMS and the passenger was transported to LMH with possible injuries. Unit 2 was check on scene and released.  License plate on vehicle belongs to the car dealer Unit 1 was purchasing the vehicle from. Tag does not match the vehicle being driven. ,7/6/2020 20:55,7/6/2020 20:56,7/6/2020 20:59,Dry,0,0,False,False,False,False
38,Property Damage Only,2,1,7/6/2020 12:36,40.048766,-82.443037,,,West,Main,Street,Backing,Clear,Daylight,On 07/06/2020 Unit 02 was traveling west bound on west Main St. when Unit 01 failed to clear the right of way traffic and struck Unit 02 in the back passenger side door. Unit 02 suffered functional damage and was able to drive from the scene. Unit 01 suffered functional damage and remained at the residence where the accident occurred. Unit 01 admitted to failing to completley clear traffic prior to backing from the driveway. No injuries were reported. ,7/6/2020 12:36,7/6/2020 13:03,7/6/2020 13:15,Dry,0,0,False,False,False,True
39,Property Damage Only,2,1,7/6/2020 13:23,40.04919,-82.44028,,,West,Main,Street,Other/Unknown,Clear,Daylight,On 07/06/2020 Unit 02 was parked at 1007 W. Main St. unoccupied while the driver was on lunch. Unit 02 suffered damage on the rear passenger side panel at the back of the Van. No cameras are in the area to capture the hit skip by Unit 01. Photographs of the damage were taken and Unit 02 was able to drive from the scene. ,7/6/2020 13:23,7/6/2020 13:35,7/6/2020 13:35,Dry,0,0,False,False,False,False
40,Property Damage Only,1,1,7/7/2020 1:45,40.05149,-82.42857,,,,MAHOLM,Street,Not Collision Between Two Vehicles in Transport,Clear,Dark - Lighted Roadway,Unit #1 is believed to have been traveling e/b on Maholm Street and struck a utility pole at the corner of Maholm Street and Decrow Avenue. Unit #1 was unoccupied as the unknown driver fled the scene.,7/7/2020 1:47,7/7/2020 1:47,7/7/2020 1:55,Dry,0,0,False,False,True,False
42,Property Damage Only,2,1,7/8/2020 10:30,40.059664,-82.41603,State Route,16,,,,Sideswipe; same direction,Clear,Daylight,Unt #2 was e/b on SR16 e/b in the left lane when Unit #1 passed Unit #2 and when proceeding to get in the left lane Unit #1 struck Unit #2 in the passenger side front finder.  Unit #1 fled the scene.,7/8/2020 11:03,7/8/2020 11:20,7/8/2020 11:44,Dry,0,0,False,False,False,False
43,Property Damage Only,2,99,7/8/2020 17:19,40.047751,-82.441785,,,South,30th,Street,Head-on,Clear,Daylight,On the above date and time; Unit #1 stated she was waiting for traffic to clear so she could turn from Buckeye Ave to go S. onto S. 30th ST. A motorcycle waved her through letting her know the turn was clear when Unit #2 was travelling N. on S 30th ST. in the center turn lane. Unit #2 struck Unit #1 causing the vehicle's airbags to deploy. The collision also caused a part of the tire to break making the vehicle disabled.,7/8/2020 17:19,7/8/2020 17:20,7/8/2020 17:27,Dry,0,0,False,False,False,False
44,Property Damage Only,2,1,7/9/2020 9:30,40.051722,-82.400912,,,,GILBERT,Street,Angle,Clear,Daylight,On 07/09/2020 officers were dispatched to 31 Gilbert St on a reported car accident occurred. The owner of a black 2015 Dodge Durango advised his vehicle was struck while parked at this location. Owner of this vehicle stated he was not in the vehicle; but heard the accident and witnessed a black pickup truck towing a landscape trailer drive NB through to alley at this location. Damage to the passenger side rear view mirror was the only damage noticed at this time. ,7/9/2020 9:30,7/9/2020 9:35,7/9/2020 9:50,Dry,0,0,False,False,False,False
45,Minor Injury Suspected,2,1,7/7/2020 20:00,40.05153,-82.397269,,,,OHIO,Street,Not Collision Between Two Vehicles in Transport,Cloudy,Daylight,UNIT 1 WAS TRAVELING WESTBOUND ON OHIO ST AND CAME TO A STOP AT THE STOP SIGN AT OHIO ST AND S 2ND ST. UNIT 2 WAS TRAVELING SOUTHBOUND ON THE SIDEWALK ALONG S 2ND ST AND APPROACHING OHIO ST. UNIT 1 STATED HE LOOKED BOTH WAYS; NOTICING UNIT 2 BUT NEVER CHECKED BACK TO SEE HOW CLOSE SHE WAS BEFORE HE BEGAN DRIVING FORWARD; ATTEMPTING TO MAKE A RIGHT TURN ONTO S 2ND ST. AS UNIT 1 WAS TURNING HE STRUCK UNIT 2; WHO WAS IN THE CROSSWALK; KNOCKING HER ONTO THE GROUND. UNIT 1 THEN FLED FROM THE SCENE. NEWARK FIRE RESPONDED AND TRANSPORTED UNIT 2 TO LICKING MEMORIAL HOSPITAL WITH MINOR INJURIES SUSPECTED TO HER LEG/ANKLE; ALONG WITH CUTS AND BRUISES. UNIT 2 PROVIDED A LICENSE PLATE AND VEHICLE DESCRIPTION; WHICH LEAD TO THE DISCOVERY OF UNIT 1. ONCE LOCATED (2 HOURS LATER); UNIT 1 ADMITTED TO HITTING UNIT 2 BUT STATED HE ASKED HER IF SHE WAS OK BEFORE LEAVING THE SCENE. UNIT 1 WAS CITED FOR HIT SKIP AND FOR FAILING TO YIELD TO A SUBJECT IN THE CROSSWALK. ,7/7/2020 20:00,7/7/2020 20:02,7/7/2020 20:05,Wet,0,0,False,False,False,False
48,Property Damage Only,1,1,7/7/2020 19:54,40.059171,-82.417653,State Route,79,,,,Not Collision Between Two Vehicles in Transport,Rain,Daylight,On listed date and time I was dispatched to the area of 79 N and 16 E on a traffic accident. When I arrived on scene fire was leaving the scene. The listed driver stated she was coming around the corner a little to fast and lost control. Unit 1 struck the side barrier and spun 180 degress and struck the side barrier again. Unit 1 was towed by Porkys towing; back to listed drivers residence. Listed driver was treated and released at the scene by NFD. Driver was cited for Failure To Control.,7/7/2020 19:54,7/7/2020 19:55,7/7/2020 19:58,Wet,0,0,False,False,True,False
49,Minor Injury Suspected,2,2,7/10/2020 9:55,40.070853,-82.428912,,,,Moull,Street,Sideswipe; opposite direction,Clear,Daylight,On 07-10-2020; Unit 1 was stopped at the light at the intersection of Moull St and 21st when Unit 2 who was turning left onto Moull St from 21ST struck Unit 1. Unit 2 continued to travel eastbound on Moull St. A witness followed Unit 2 from Moull St and saw Unit 2 park behind 421 Woods Ave and two males and a female jumped out and ran. Unit 1 was transported to LMH by Newark EMS for minor injuries. Unit 1 had disabling damage and was towed by Speedys. Officers attempted to make contact with a few of the residence where Unit 2 was parked. Officers were unable to make any contact.     ,7/10/2020 9:55,7/10/2020 9:55,7/10/2020 9:59,Dry,0,0,False,False,False,False
